ukuthi
kodwa
futhi
kakhulu
wakhe
kusho
uma
wathi
kanye
phansi
ngesikhathi
lapho
u
zakhe
khona
ukuba
nje
phezulu
yakhe
kungani
wase
zonke
la
mina
wami
ukuze
wahamba
kahle
lakhe
a
le
o
ba
ho
oa
ea
ka
hae
eaba
ke
hore
ha
e
ne
re
bona
me
tsa
la
empa
se
moo
bane
mo
tse
sa
li
ena
tloha
hape
die
het
en
sy
nie
'n
ŉ
was
hy
te
is
ek
om
hulle
in
my
vir
toe
haar
van
dit
op
se
wat
met
by
gaan
baie
ons
jy
na
maar
hom
so
kan
aan
dat
daar
sal
jou
gesê
kom
een
ma
as
al
saam
uit
dag
sien
af


